Name,Abung,Balagbag,Barualte,Bataan,Buhay Na Sapa,Bulsa,Calicanto,Calitcalit,Calubcub I,Calubcub II,Catmon,Coloconto,Escribano,Hugom,Imelda (Tubog),Janaojanao,Laiya-Aplaya,Laiya-Ibabao,Libato,Lipahan,Mabalanoy,Maraykit,Muzon,Nagsaulay,Palahanan I,Palahanan II,Palingowak,Pinagbayanan,Poblacion,Poctol,Pulangbato,Putingbuhangin,Quipot,Sampiro,Sapangan,Sico I,Sico II,Subukin,Talahiban I,Talahiban II,Ticalan,Tipaz
Paaralang Elementarya Ng Muzon,13308.626000000002,10680.789999999997,25287.306999999986,22593.513999999985,10731.630999999998,23412.331999999988,5224.656,8169.200999999999,15107.524000000007,16826.016000000003,13931.757000000003,20348.810999999994,4920.397,30414.336999999985,26947.183999999994,6177.696999999999,28669.14299999999,24941.334999999992,3072.6989999999996,8847.822999999999,7448.621000000002,5504.661999999999,711.48,20455.74599999999,2739.638,2082.806,8937.132999999998,12995.932000000003,6620.515,11650.727,18417.916999999998,13050.331000000004,14810.150000000005,12329.301000000003,9826.375999999998,4047.8029999999994,3021.737,18376.699999999997,9206.071999999998,8739.466999999999,13061.747000000003,10123.539999999999
Nagsaulay Elementary School,7147.119999999999,11434.431999999999,4831.561,2137.768,9724.114999999998,6690.495,15689.244999999999,15086.429999999998,5348.222,4083.5279999999993,15576.609,3974.7449999999994,17847.670000000002,9958.590999999997,6491.438,19742.043000000005,8213.396999999999,4485.589,19088.096000000005,15839.633999999998,13007.125,14973.876999999999,19811.20300000001,0,17738.901,19042.825000000004,14930.991999999998,13749.574,14345.605,16130.835000000001,8522.499,9443.268,11959.653999999999,11451.109999999999,15448.530999999999,16430.736,17456.802000000003,2079.0460000000003,12784.857,12691.489,11449.666,17040.769
Palahanan Elementary School,11549.366000000002,8921.529999999997,23528.046999999988,20834.253999999986,8972.370999999997,21653.07199999999,3465.3960000000006,6409.940999999999,13348.264000000006,15066.756000000003,12172.497000000003,18589.550999999996,3414.149,28655.076999999987,25187.923999999995,4514.298,26909.88299999999,23182.074999999993,1566.4509999999998,7088.562999999999,5689.361000000002,3745.402,1091.924,18696.48599999999,980.378,323.546,7177.872999999999,11236.672000000002,4861.255,9891.467,16658.657,11291.071000000004,13050.890000000005,10570.041000000003,8320.127999999997,2288.543,1262.4769999999999,16617.44,7446.811999999999,6980.2069999999985,11302.487000000003,8364.279999999999
Palingowak Elementary School,8095.2789999999995,3807.9670000000006,20073.959999999995,17380.166999999994,5832.958,18198.985,4459.246000000001,1153.9990000000003,9894.176999999998,11612.669,6031.232,15135.464,7717.5199999999995,25200.98999999999,21733.836999999996,8496.391999999998,23455.796,19727.987999999998,8630.918999999998,2120.217,2549.9480000000003,3743.8780000000006,8581.203999999998,15242.399,6508.901999999998,7812.826000000001,311.40700000000004,5214.540999999999,3113.1680000000006,3844.471,13204.570000000003,6793.201,9911.477000000003,7430.6280000000015,11185.027999999998,5200.736999999999,6226.802999999998,13163.353000000003,4307.399,3840.794,6362.438999999999,3108.338
Pinagbayanan Elementary School,6602.454000000001,2315.142,18581.135000000002,15887.341999999999,4630.023999999999,16706.160000000003,8229.431,5020.525,8401.351999999999,10119.844000000003,2034.3730000000003,13642.639000000001,10714.883000000002,23708.164999999994,20241.012,12282.229,21962.971,18235.163,11628.282000000001,5986.743,5547.311,7514.062999999999,12351.389,13749.574,10279.087000000001,11583.011000000002,4903.134,0,6885.791,2588.599,11711.745000000004,5300.376,8636.186,6357.018999999998,10313.965,8970.922,9996.988000000001,11670.528000000004,5698.28,4256.465,4869.614,3922.672
San Juan West Central School,7147.4310000000005,4519.594999999998,19126.111999999997,16432.318999999996,4570.435999999999,17251.137,1794.6250000000005,1982.775,8946.329000000003,10664.821,7745.330999999999,14187.615999999998,5206.106,24253.141999999993,20785.989,5847.422999999999,22507.947999999997,18780.14,6119.504999999999,2283.447,1287.4260000000002,1079.2569999999998,5916.583,14294.550999999996,3844.2810000000004,5148.205000000001,2750.707,6834.737000000001,56.139,5464.3009999999995,12256.721999999998,6889.136000000001,8648.955000000004,6168.106000000001,9922.506,2536.116000000001,3562.1820000000002,12215.504999999997,3044.877,2578.2720000000004,6900.5520000000015,3937.114
Paaralang Elementarya ng Poctol,9259.198999999997,4971.887000000001,21237.88,18544.087,7286.768999999999,19362.905000000002,7136.917000000001,3831.67,11058.096999999998,12776.589,3680.7740000000003,16299.383999999998,10548.397999999996,26364.909999999993,22897.757,11174.062999999996,24619.716000000004,20891.908,11461.796999999995,4797.888000000001,6047.089000000002,6421.549000000001,11258.874999999996,16406.319,9186.572999999995,10490.496999999998,3808.548,2864.0829999999996,5790.839000000002,275.484,14368.490000000002,7957.121,11292.930999999997,9013.763999999996,12970.71,7878.407999999999,8904.473999999997,14327.273000000001,7804.539999999999,6913.21,7526.3589999999995,2733.8169999999996
Paaralang Elementarya ng Pulangbato,5109.291,9396.603000000001,13354.059999999998,10660.267,7686.286,11479.085000000001,13651.416000000001,13048.601,3310.393,4892.769,13538.780000000002,8415.564000000002,15809.841000000002,18481.089999999993,15013.936999999996,17704.214000000004,16735.895999999997,13008.087999999998,17050.267000000003,13801.805,10969.296,12936.048,17773.374,8522.499000000002,15701.072000000004,17004.996000000003,12893.163,11711.745000000003,12307.776000000002,14093.006000000003,0,7405.439000000001,4862.812,9413.281,12223.539999999995,14392.907000000001,15418.973000000004,6443.453,10747.028000000002,10653.660000000002,9411.837000000001,15002.94
Paaralang Elementarya ng Putingbuhangin,2194.983,2884.069,14173.664,11479.871,2217.535,12298.689000000004,8182.665,6536.066999999999,3993.8809999999994,5712.3730000000005,7026.246000000001,9235.168000000001,10341.09,19300.693999999996,15833.541,12235.462999999998,17555.500000000004,13827.692000000001,11581.516,7289.270999999999,5500.545,7467.297,12304.623,9342.103000000001,10232.321000000002,11536.245,6380.628999999999,5199.211000000001,6839.025000000001,7580.472,7304.274000000002,143.27700000000002,4688.432,3944.5299999999997,7941.951,8924.155999999999,9950.222000000002,7263.057000000002,5278.277,4813.496999999999,2899.303,8490.405999999999
Paaralang Elementaryang Calabasahan,9954.835,11463.345000000001,21288.13299999999,18594.339999999993,9220.819999999998,19413.157999999992,15180.583000000002,14839.989000000001,11244.466,12826.842,15605.522,16349.636999999999,13639.973999999998,26415.162999999993,22948.00999999999,19233.380999999998,24669.968999999997,20942.16099999999,15314.978,15562.733999999999,12498.463,14465.215000000002,17720.340999999997,16456.571999999996,17230.238999999998,17204.974999999995,14737.004,13778.487000000001,13836.943000000003,16159.748000000003,7934.072999999999,9931.898,5142.3009999999995,7617.7829999999985,9069.432999999999,15922.073999999999,16948.14,14377.526000000002,12276.195,12182.827,11478.579,16794.327999999998
Paaralng Elementry ng Quipot,3106.5969999999998,4615.107,15085.277999999998,12391.484999999997,2372.582,13210.303000000002,8337.712,7997.118,4905.494999999999,6623.987,8757.284000000001,10146.782000000001,10496.137000000002,20212.307999999994,16745.155,12390.51,18467.113999999998,14739.305999999999,11736.563000000002,8719.863,5655.591999999999,7622.343999999999,12459.670000000002,10253.717,10387.368000000004,11691.292000000003,7894.133,6930.249,6994.072,9311.510000000002,6568.749000000001,3083.66,1705.9370000000001,4099.576999999999,8096.998,9079.203000000001,10105.269000000004,8174.671000000001,5433.323999999999,5339.955999999998,4630.340999999999,9951.457000000004
Paaralang Elementarya ng Sampiro,5192.034000000001,4929.921,17170.715,14476.921999999999,2615.0389999999998,15295.740000000003,8450.844000000001,8110.25,6990.932000000001,8709.424,9072.098000000002,12232.219000000001,7679.918,22297.74499999999,18830.592,12503.642000000002,20552.550999999996,16824.743000000002,9354.922,8832.994999999999,5768.724,7735.476000000001,11760.285000000002,12339.154,10500.500000000002,11244.919,8007.264999999999,7245.063000000002,7107.2040000000015,9626.324,10301.325000000003,4933.7390000000005,6693.558000000001,888.044,3109.3770000000004,9192.335,10218.401000000002,10260.108000000002,5546.456,5453.088,4945.155000000001,10064.589000000002
Libjo Sapangan Elementary School,8719.695000000002,8417.107000000002,20698.375999999997,18004.583,6142.700000000001,18823.401,11323.372000000003,11394.89,10518.592999999999,12237.085000000001,12559.283999999998,15759.880000000001,7755.060999999999,25825.405999999988,22358.252999999997,13457.826000000003,24080.211999999992,20352.404,9430.064999999999,12117.634999999998,9053.364000000001,11020.115999999998,11835.428000000002,15866.815,11454.684000000003,11320.062,11291.904999999999,10732.248999999998,10391.844,13113.509999999997,10860.194,8461.400000000001,8068.4220000000005,4415.705,2676.388,10146.519000000002,11172.585000000003,13787.769000000002,8831.096000000001,8737.728000000001,8472.816,13349.229
Paaralang Elementarya ng Sapangan,8301.411,7998.823,20280.091999999997,17586.299,5724.416,18405.117000000002,8646.984000000002,10976.606000000002,10100.309000000001,11818.801000000001,12140.999999999998,15341.596000000003,5078.673,25407.12199999999,21939.968999999997,10781.438000000002,23661.927999999993,19934.12,6753.676999999999,11699.351,8635.08,8926.990000000002,9159.04,15448.531,8778.296000000002,8643.673999999999,10873.621000000001,10313.964999999998,9973.56,12695.225999999997,12223.540000000003,8043.116,9431.768,3997.4209999999994,0,7470.131,8496.197000000002,13369.485000000002,7007.4710000000005,8319.444,8054.532,12930.945000000002
Paaralang Elementarya ng Pal-Sico,9942.419000000002,7314.582999999996,21921.09999999999,19227.30699999999,7365.423999999996,20046.124999999993,1858.449,4802.993999999999,11741.317000000006,13459.809000000003,10565.550000000003,16982.604,3351.5860000000002,27048.12999999999,23580.977,2907.3509999999997,25302.935999999994,21575.127999999997,3083.7780000000002,5481.615999999999,4082.414000000001,2138.455,2698.871,17089.538999999993,626.569,1930.493,5570.925999999999,9629.725000000002,3254.308,8284.52,15051.710000000001,9684.124000000003,11443.943000000005,8963.094000000003,8151.726999999998,681.596,344.46999999999997,15010.493,5839.864999999999,5373.259999999998,9695.540000000003,6757.332999999999
Subukin Elementary School,4996.1939999999995,9283.506000000001,6982.486999999999,4288.6939999999995,7573.1889999999985,6693.221,13538.319000000001,12935.504,3197.2960000000003,1932.6019999999996,13425.683000000003,2537.345,15696.744000000002,12109.516999999996,8642.363999999998,17591.117000000002,10364.322999999997,6636.514999999999,16937.170000000002,13688.708,10856.199000000002,12822.951000000001,17660.277000000006,2150.9260000000004,15587.975000000004,16891.899,12780.066,11598.648000000003,12194.679000000002,13979.909000000003,6371.5729999999985,7292.342,9808.728000000001,9300.184000000001,13297.605000000001,14279.810000000001,15305.876000000004,71.88,10633.931000000002,10540.563000000002,9298.740000000002,14889.843
Paaralang Elementarya Ng Talahiban 1.0,5834.840999999999,3580.2419999999997,17813.522,15119.728999999998,3257.8459999999995,15938.547000000002,4636.675,4296.081,7633.7390000000005,9352.231000000002,7722.419,12875.026,4865.709000000001,22940.551999999996,19473.399000000005,8689.473,21195.358,17467.550000000003,6713.407000000001,5018.825999999998,1954.5550000000003,3921.3069999999993,8758.633,12981.961,6686.331000000001,7990.255000000002,4193.096,5895.384,3293.035,7726.160000000002,10944.132000000001,5576.546,7336.365000000001,4855.516,6810.367,5378.165999999999,6404.232000000001,10902.915,197.104,1638.919,5587.962,6250.420000000002
